"","Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"285","Liver","Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration","84/5023","119/9577",0.705882352941177,1.34585612066845,3.98700184243344,3.7930108460943e-05,0.000176836316473315,6.58246547970846e-05,"12386/12562/22325/56173/109905/59310/109711/60595/19303/26415/12737/11461/12741/74769/56508/12927/12388/14678/12739/20315/18708/12767/19878/21838/67374/18750/22324/16414/74987/12540/12385/18751/19229/18706/58187/54354/18803/57255/18260/16456/242653/71908/16409/216033/22330/13058/22329/18707/17356/114141/12387/215449/14677/18613/17970/234779/57257/11848/83964/16412/18417/171486/19247/11855/16428/14083/15894/12740/26416/17906/628893/17898/16408/16415/14679/17972/18752/22165/17907/223864/17969/18710/16401/12738",84
"286","Liver","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","57/5023","76/9577",0.75,1.42997212821023,3.95220611926816,4.29431793154294e-05,0.000193813779744197,7.21442597369704e-05,"12443/21803/20848/17127/18805/12048/74769/13557/19697/22339/26417/18708/110157/16150/56717/13649/107986/12540/16451/17126/18706/16151/21802/18033/17873/12571/18707/26419/13555/23882/64143/21808/17128/21813/13645/19645/242705/26420/20846/12028/21812/12015/170758/12371/11836/19765/16653/27015/12578/19361/72508/11651/12675/109880/26413/18710/21809",57
"287","Liver","Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","82/5023","116/9577",0.706896551724138,1.34778982199125,3.95780585196895,4.3047374485236e-05,0.000193813779744197,7.21442597369704e-05,"20183/75547/16438/16974/20505/20531/16591/238871/21943/18805/17391/224129/16658/18577/18795/432530/14672/210044/74499/14678/208677/16439/208647/26417/14531/110385/110157/11515/13081/16801/20181/78284/12374/13649/18750/20497/18578/17387/14682/20182/14673/14683/108737/18751/16973/17261/11514/109689/18227/17388/20683/14281/231991/19226/53416/18796/16478/13653/14677/23948/75607/11848/11513/26941/14182/18749/232341/11836/20393/18798/213498/11909/14462/12393/18747/12915/14679/18752/18797/109880/26413/16440",82
"288","Liver","Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","93/5023","134/9577",0.694029850746269,1.3232577902841,3.95752392318303,4.32569885226179e-05,0.000193813779744197,7.21442597369704e-05,"241489/23959/23972/230103/14918/29863/238871/12499/224129/13178/76952/18575/18577/432530/224794/18573/210044/18605/22262/66355/54195/23984/18585/18584/110385/11515/11639/72090/108147/23971/239134/110639/231903/271639/22436/18578/18583/11637/14544/109674/11514/66401/14919/11534/171567/76025/20135/210808/209558/11821/382985/74167/14917/229949/68695/633979/110855/11565/12495/225600/66358/23917/18574/11513/54611/27369/72157/14450/11717/245650/75456/218461/68870/66681/94041/69692/53893/78600/18576/230718/14198/67054/229589/78801/19139/50773/11564/56248/73707/18103/14923/234889/207728",93
"289","Liver","Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction","99/5023","144/9577",0.6875,1.31080778419271,3.94662043852657,4.53848203857739e-05,0.000200740551706307,7.47226462491823e-05,"211429/107589/12289/16438/71960/69836/230103/11548/78390/18754/69632/17886/11549/224129/18795/432530/14672/109624/210044/11607/17931/11541/16439/238564/11535/434233/26361/54140/26417/54195/13616/110157/11515/19878/11606/19045/16801/239134/18750/271844/14682/14673/14683/19047/13614/18751/77579/11514/100502876/12314/26565/11550/12288/329251/19091/66350/18753/666168/54598/19046/18796/18784/17540/18755/18783/11540/26970/18761/54409/11848/11513/68458/232807/13117/18749/11998/16533/100040843/16531/11836/237625/13119/18798/213498/329502/12292/12310/18747/116903/18752/18797/109880/26413/213435/277753/216459/13615/234889/16440",99
"290","Liver","Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","94/5023","136/9577",0.691176470588235,1.31781745148786,3.92026423816622,5.07889256868058e-05,0.000221799738758836,8.25616113762866e-05,"211429/12289/16438/380997/14701/13109/226105/12286/78390/11820/13098/72082/13101/224129/100043108/15558/18795/140492/14681/68444/14678/16439/110877/26417/110157/19224/14708/66066/18750/271844/14682/14683/56448/18751/19252/71754/74519/223706/12288/14700/13105/14402/76279/13195/18796/14697/433247/18783/15567/226143/14677/15565/15552/109731/12367/216343/13095/545123/100066/57014/15561/18749/13099/11688/14706/14688/12287/11836/13096/16653/14693/18798/21990/16522/16521/545288/329502/12292/64337/15461/18747/22063/14679/18752/18797/404195/109880/26413/11686/223864/11689/14401/16440/14696",94
"291","Liver","Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","65/5023","89/9577",0.730337078651685,1.39248222222719,3.90665265923883,5.31354545686823e-05,0.000229146647827443,8.52963875970953e-05,"22371/14723/14268/11603/12845/20969/23928/16774/16780/16423/12842/16399/16402/12828/231470/16419/19699/319480/21827/16410/64051/21828/226519/22370/12491/16773/12827/12826/15530/21825/13138/329872/114249/109700/68553/12643/16772/75209/12839/94111/20971/213119/12843/16777/16412/665033/12840/16403/14729/16782/242022/12829/64176/12834/12505/104099/15891/12841/16404/20750/245026/16401/16421/192897/21960",65
"292","Liver","Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","78/5023","110/9577",0.709090909090909,1.35197364848967,3.89921738927545,5.53636679401311e-05,0.000234221111633322,8.7185280302869e-05,"244416/16334/26458/18035/56637/18754/19246/20848/19268/58805/170826/232493/19017/384783/18762/74769/19697/20525/20526/228775/14377/208677/19013/18534/208647/434233/14378/108097/108099/20787/18708/110095/11606/19045/16150/78284/105787/56717/108079/26459/19211/19079/19047/18751/12491/18706/210789/12702/18607/20111/16337/16367/74343/18033/21937/18753/231991/18707/26419/19046/53412/100705/18761/56458/26420/241113/19247/208104/12894/110651/72508/11651/19309/74551/22259/18710/108155/110854",78
"293","Liver","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","128/5023","193/9577",0.663212435233161,1.26450039662114,3.89841551858129,5.56699453737171e-05,0.000234221111633322,8.7185280302869e-05,"93742/22325/14701/17096/18035/20308/20779/56637/20848/109905/14825/224129/18795/56066/19303/12145/432530/18762/74769/18036/19697/12775/210044/14191/12927/14678/14784/20303/20315/26417/18708/110157/11515/20663/12767/19878/227288/20851/16150/57266/56484/14708/66066/16963/140580/22324/20310/14682/12540/20662/20290/18751/20296/19229/18706/11514/277360/17329/109689/18803/320129/20312/16151/16452/14700/18033/330122/12928/18753/12929/12768/24013/18707/215449/18796/14697/14677/19395/14772/234779/57257/11848/14773/56838/11513/20305/20846/20416/55985/12015/18749/606496/14706/170758/14688/216148/16428/15945/14083/16653/30955/14693/15162/18798/18479/20847/11651/21844/12769/64337/15461/18747/12675/14679/18797/109880/26413/12773/20418/20311/271849/320207/94176/17969/80901/18710/20302/14696",128
"294","Liver","Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","92/5023","133/9577",0.691729323308271,1.3188715367954,3.88902496256389,5.80155298356375e-05,0.000241148889075843,8.97640410900162e-05,"12443/16334/12125/21803/93759/20848/17127/26557/26556/26415/384783/22035/74769/12452/213393/27373/14377/14784/18534/14378/170755/108097/26417/108099/13609/18708/110157/20663/16150/16000/105787/12053/12914/56484/13649/108079/19211/18099/20662/216439/19079/17246/12176/13611/27219/18706/20620/18607/12359/329934/16337/16197/16367/17873/67526/18707/26419/23882/14103/21808/17128/21813/13645/56458/328572/12576/26420/21812/241113/16001/57436/252870/11836/20393/16653/12795/26416/11651/74551/16369/12442/15461/12675/15228/16598/109880/26413/19651/18710/93739/21809/16153",92
